"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","att1","att2","consent","Q110","elon_musk_first_10","warren_buffet_second_10","warren_buffet_first_10","elon_musk_second_10","comp1","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","PROLIFIC_PID"
"2024-01-18 08:49:23","2024-01-18 08:50:19","0",12,"100","56","1","2024-01-18 08:50:20","R_73aznK5xK6zSjyF","","","","",12,12,"anonymous","EN","2","2","1","612993e12ec11a07dc1c38c4","","","64","76","2","2","","3","","22","4","","612993e12ec11a07dc1c38c4"
"2024-01-18 08:49:43","2024-01-18 08:50:27","0",13,"100","43","1","2024-01-18 08:50:27","R_3vYvMRJI64KQXAy","","","","",13,13,"anonymous","EN","2","2","1","65661c6448e2bdf5ad2d344d","24","73","","","2","2","","3","","54","4","","65661c6448e2bdf5ad2d344d"
"2024-01-18 08:50:42","2024-01-18 08:51:37","0",14,"100","55","1","2024-01-18 08:51:37","R_6y8xEBPiphJxh5v","","","","",14,14,"anonymous","EN","2","2","1","5ec97acb4ea8a50bc70ed451","","","60","90","2","1","","4","","34","4","","5ec97acb4ea8a50bc70ed451"
"2024-01-18 08:52:19","2024-01-18 08:53:15","0",15,"100","55","1","2024-01-18 08:53:16","R_5oLnCfUChzNOHLA","","","","",15,15,"anonymous","EN","2","2","1","631f9f50e32a53a43badde1e","","","43","62","2","1","","3","","49","4","","631f9f50e32a53a43badde1e"
"2024-01-18 08:52:25","2024-01-18 08:53:24","0",16,"100","59","1","2024-01-18 08:53:25","R_1ByXElnNEAMVwZ3","","","","",16,16,"anonymous","EN","2","2","1","62e1ac27961f3e729c0cf5fd","60","60","","","2","1","","1","","30","3","","62e1ac27961f3e729c0cf5fd"
"2024-01-18 08:53:00","2024-01-18 08:53:49","0",17,"100","48","1","2024-01-18 08:53:49","R_1NVPHF8Ku2e4k93","","","","",17,17,"anonymous","EN","2","2","1","602b3ed14ae791260d6d12c5","","","59","1","2","1","","7","","34","3","","602b3ed14ae791260d6d12c5"
"2024-01-18 08:54:28","2024-01-18 08:55:19","0",18,"100","51","1","2024-01-18 08:55:20","R_1oeVSZTsbEu7Jqp","","","","",18,18,"anonymous","EN","2","2","1","5f8c4e534f073d38eb38e5d8","90","70","","","2","1","","3","","32","4","","5f8c4e534f073d38eb38e5d8"
"2024-01-18 08:56:59","2024-01-18 08:57:12","0",19,"100","12","1","2024-01-18 08:57:12","R_7XHJ5Ygr4HZiVpL","","","","",19,19,"anonymous","EN","2","1","","","","","","","","","","","","","","","6543b16f3b54508e4cf5c9c9"
"2024-01-18 08:50:14","2024-01-18 08:57:48","0",20,"100","453","1","2024-01-18 08:57:49","R_6CMru6i8jNOwJcB","","","","",20,20,"anonymous","EN","2","2","1","60d64fa72171e9f75915f197","50","48","","","2","1","","3","","57","3","","60d64fa72171e9f75915f197"
"2024-01-18 08:57:15","2024-01-18 08:58:04","0",21,"100","48","1","2024-01-18 08:58:04","R_5vkb1DWC1bw1HsS","","","","",21,21,"anonymous","EN","2","2","1","6316972ef4d8ad8f45a16d7f","","","30","60","2","1","","3","","44","4","","6316972ef4d8ad8f45a16d7f"
"2024-01-18 08:58:07","2024-01-18 08:58:53","0",22,"100","45","1","2024-01-18 08:58:53","R_61LgsZxeqBcXv63","","","","",22,22,"anonymous","EN","2","2","1","659767511f0391eb2cf9be8f","26","67","","","2","2","","2","","32","5","","659767511f0391eb2cf9be8f"
"2024-01-18 08:58:55","2024-01-18 09:00:04","0",23,"100","68","1","2024-01-18 09:00:05","R_5REJx77VMJyIDOF","","","","",23,23,"anonymous","EN","2","2","1","63d7a6a997f03198526a1941","","","0","81","2","1","","1","","38","4","","63d7a6a997f03198526a1941"
"2024-01-18 09:01:59","2024-01-18 09:02:44","0",24,"100","45","1","2024-01-18 09:02:45","R_5P72uy6pZib0NBI","","","","",24,24,"anonymous","EN","2","2","1","5c480ea77379d8000112c2c8","100","50","","","2","1","","1","","23","1","","5c480ea77379d8000112c2c8"
"2024-01-18 09:02:07","2024-01-18 09:03:46","0",25,"100","99","1","2024-01-18 09:03:46","R_3eUNqPgqMjtfwYT","","","","",25,25,"anonymous","EN","2","2","1","63e51befbac962e27932c5de","70","30","","","2","1","","3","","20","1","","63e51befbac962e27932c5de"
"2024-01-18 09:04:31","2024-01-18 09:05:15","0",26,"100","43","1","2024-01-18 09:05:15","R_5X1mSEtfPeNfzVw","","","","",26,26,"anonymous","EN","2","2","1","5c2c4c8889f0350001759cf7","","","28","66","2","2","","3","","30","4","","5c2c4c8889f0350001759cf7"
"2024-01-18 09:04:14","2024-01-18 09:05:19","0",27,"100","64","1","2024-01-18 09:05:19","R_3nVGMw7YDUwbtM5","","","","",27,27,"anonymous","EN","2","2","1","5dde0d3ce2dcbdd798721c65","40","51","","","2","2","","3","","58","4","","5dde0d3ce2dcbdd798721c65"
"2024-01-18 09:04:07","2024-01-18 09:05:21","0",28,"100","74","1","2024-01-18 09:05:21","R_7pKx75nEcK34Qan","","","","",28,28,"anonymous","EN","2","2","1","636150594cc2bf3d89365438","","","50","50","2","2","","3","","24","5","","636150594cc2bf3d89365438"
"2024-01-18 09:05:10","2024-01-18 09:05:23","0",29,"100","13","1","2024-01-18 09:05:23","R_3sERJvAebtg92nf","","","","",29,29,"anonymous","EN","2","1","","","","","","","","","","","","","","","65593fba029061f69cd8b6ab"
"2024-01-18 09:04:24","2024-01-18 09:05:26","0",30,"100","62","1","2024-01-18 09:05:26","R_1d6Lwxf465OVqbT","","","","",30,30,"anonymous","EN","2","2","1","60f6d1db8214f3e0b3e2f023","","","93","100","2","2","","3","","34","4","","60f6d1db8214f3e0b3e2f023"
"2024-01-18 09:04:38","2024-01-18 09:05:26","0",31,"100","47","1","2024-01-18 09:05:27","R_67rJVxIDr4wR6kD","","","","",31,31,"anonymous","EN","2","2","1","5c1a9424a329230001ecaabd","85","70","","","2","2","","3","","38","1","","5c1a9424a329230001ecaabd"
"2024-01-18 09:04:45","2024-01-18 09:05:34","0",32,"100","48","1","2024-01-18 09:05:34","R_3WAtESpMPdReHZN","","","","",32,32,"anonymous","EN","2","2","1","62d59a7b40c07da2c0a5b473","","","95","100","2","2","","3","","32","4","","62d59a7b40c07da2c0a5b473"
"2024-01-18 09:04:50","2024-01-18 09:05:39","0",33,"100","48","1","2024-01-18 09:05:39","R_5B8mW8MzCVUaClD","","","","",33,33,"anonymous","EN","2","2","1","5e89533c4d3d675e800bfc7c","94","51","","","2","1","","3","","37","4","","5e89533c4d3d675e800bfc7c"
"2024-01-18 09:05:07","2024-01-18 09:05:48","0",34,"100","41","1","2024-01-18 09:05:49","R_7dB2YDz3cVUnBna","","","","",34,34,"anonymous","EN","2","2","1","6306d29af0c80316a9c5aa1b","30","70","","","2","1","","4","","32","4","","6306d29af0c80316a9c5aa1b"
"2024-01-18 09:05:05","2024-01-18 09:06:07","0",35,"100","61","1","2024-01-18 09:06:07","R_14EEbSfsNWY5S8x","","","","",35,35,"anonymous","EN","2","2","1","5d2eac390aca250001e9c3e1","100","72","","","2","2","","3","","42","4","","5d2eac390aca250001e9c3e1"
"2024-01-18 09:05:06","2024-01-18 09:06:08","0",36,"100","62","1","2024-01-18 09:06:09","R_1RQ6u6eNNS284q4","","","","",36,36,"anonymous","EN","2","2","1","5fa58219971cf40672951039","","","47","46","2","2","","3","","37","4","","5fa58219971cf40672951039"
"2024-01-18 09:05:28","2024-01-18 09:06:23","0",37,"100","55","1","2024-01-18 09:06:24","R_3r7hXct2gsF3wZi","","","","",37,37,"anonymous","EN","2","2","1","6413aba87406eb7adb732e82","70","90","","","2","1","","3","","30","5","","6413aba87406eb7adb732e82"
"2024-01-18 09:05:11","2024-01-18 09:06:34","0",38,"100","82","1","2024-01-18 09:06:34","R_12RPvavUgfZU7hf","","","","",38,38,"anonymous","EN","2","2","1","56b8de29e1d0a200051517f8","","","60","50","2","2","","2","","41","4","","56b8de29e1d0a200051517f8"
"2024-01-18 09:06:23","2024-01-18 09:07:23","0",39,"100","60","1","2024-01-18 09:07:24","R_1PpAl7R2rFPalDX","","","","",39,39,"anonymous","EN","2","2","1","5f0550bf5819b18476ee8343","91","44","","","2","2","","3","","70","5","","5f0550bf5819b18476ee8343"
"2024-01-18 09:06:09","2024-01-18 09:07:26","0",40,"100","76","1","2024-01-18 09:07:26","R_6potirkLTIErS5b","","","","",40,40,"anonymous","EN","2","2","1","5fc27b5a13285c0008cc71ab","","","25","80","2","2","","3","","64","4","","5fc27b5a13285c0008cc71ab"
"2024-01-18 09:06:45","2024-01-18 09:07:28","0",41,"100","42","1","2024-01-18 09:07:29","R_3lo8IOYdRI431J6","","","","",41,41,"anonymous","EN","2","2","1","5723d6abccc7cc00086bb0d2","","","30","77","2","2","","3","","32","5","","5723d6abccc7cc00086bb0d2"
"2024-01-18 09:06:32","2024-01-18 09:07:33","0",42,"100","61","1","2024-01-18 09:07:34","R_3YwYpsD4uuGOpAG","","","","",42,42,"anonymous","EN","2","2","1","5e6457da6e2ba11d4d2cde13","69","59","","","2","1","","3","","46","3","","5e6457da6e2ba11d4d2cde13"
"2024-01-18 09:06:44","2024-01-18 09:07:37","0",43,"100","52","1","2024-01-18 09:07:37","R_66ZWYOYAC3Cdskx","","","","",43,43,"anonymous","EN","2","2","1","6430c599f0887cb443f8da9a","","","40","100","2","1","","3","","53","4","","6430c599f0887cb443f8da9a"
"2024-01-18 09:05:46","2024-01-18 09:07:50","0",44,"100","124","1","2024-01-18 09:07:51","R_3QF2cA7AarNF35C","","","","",44,44,"anonymous","EN","2","2","1","5ea47bda5b1a9807ed89eb76","","","75","100","2","1","","3","","76","3","","5ea47bda5b1a9807ed89eb76"
"2024-01-18 09:06:54","2024-01-18 09:07:51","0",45,"100","57","1","2024-01-18 09:07:52","R_6r8NzM3CXvUKepX","","","","",45,45,"anonymous","EN","2","2","1","64fde27873854fb1419f2c75","50","70","","","2","1","","3","","36","4","","64fde27873854fb1419f2c75"
"2024-01-18 09:06:55","2024-01-18 09:07:54","0",46,"100","59","1","2024-01-18 09:07:55","R_7Ec1SOypT4ZDKrp","","","","",46,46,"anonymous","EN","2","2","1","5f4a761d2a3d075f5bf652cc","","","100","100","2","4","non-binary","3","","46","1","","5f4a761d2a3d075f5bf652cc"
"2024-01-18 09:06:27","2024-01-18 09:07:58","0",47,"100","90","1","2024-01-18 09:07:58","R_7dB32vOZa9XcikN","","","","",47,47,"anonymous","EN","2","2","1","5eaf1a2c649fd108284c2b5f","80","85","","","2","2","","3","","48","6","","5eaf1a2c649fd108284c2b5f"
"2024-01-18 09:07:09","2024-01-18 09:07:58","0",48,"100","49","1","2024-01-18 09:07:59","R_1iQ3YPO33rpxHDB","","","","",48,48,"anonymous","EN","2","2","1","5bacb6b9f2d97e0001c52a63","70","75","","","2","1","","3","","50","1","","5bacb6b9f2d97e0001c52a63"
"2024-01-18 09:07:23","2024-01-18 09:08:12","0",49,"100","48","1","2024-01-18 09:08:12","R_6esGyfr9vSLlwGd","","","","",49,49,"anonymous","EN","2","2","1","62fdd0e557fbc97b30b32ae3","75","60","","","2","1","","3","","36","4","","62fdd0e557fbc97b30b32ae3"
"2024-01-18 09:07:05","2024-01-18 09:08:18","0",50,"100","72","1","2024-01-18 09:08:18","R_6IpfQVpodw71u9Y","","","","",50,50,"anonymous","EN","2","2","1","5ca999aacf827100165119f4","","","60","85","2","1","","3","","38","4","","5ca999aacf827100165119f4"
"2024-01-18 09:07:41","2024-01-18 09:08:19","0",51,"100","37","1","2024-01-18 09:08:19","R_3rHaewOldD3Ncj6","","","","",51,51,"anonymous","EN","2","2","1","5d083644613fce001b2a1001","","","92","100","2","2","","3","","31","4","","5d083644613fce001b2a1001"
"2024-01-18 09:07:42","2024-01-18 09:08:32","0",52,"100","50","1","2024-01-18 09:08:33","R_5sBasMcUVFnFaQ6","","","","",52,52,"anonymous","EN","2","2","1","63fb616a798d079c9ee0a7ff","93","22","","","2","1","","3","","49","5","","63fb616a798d079c9ee0a7ff"
"2024-01-18 09:08:00","2024-01-18 09:08:44","0",53,"100","44","1","2024-01-18 09:08:45","R_6gAgfOjxyNEU3sd","","","","",53,53,"anonymous","EN","2","2","1","65674fc6b492a11ed7f10a12","86","66","","","2","2","","2","","36","7","","65674fc6b492a11ed7f10a12"
"2024-01-18 09:08:04","2024-01-18 09:08:58","0",54,"100","54","1","2024-01-18 09:08:58","R_5qx8qwIzBzBgn2D","","","","",54,54,"anonymous","EN","2","2","1","5b56686fc09af90001f187a5","","","27","93","2","2","","3","","27","1","","5b56686fc09af90001f187a5"
"2024-01-18 09:08:00","2024-01-18 09:09:01","0",55,"100","61","1","2024-01-18 09:09:02","R_1hoWhAsKgGiGX8l","","","","",55,55,"anonymous","EN","2","2","1","6010b744db280e455a5250bd","69","85","","","2","2","","3","","57","5","","6010b744db280e455a5250bd"
"2024-01-18 09:07:25","2024-01-18 09:09:08","0",56,"100","102","1","2024-01-18 09:09:08","R_7gekaxYszWBp5ia","","","","",56,56,"anonymous","EN","2","2","1","5dd2fe93b966de3107002f4b","","","35","100","2","2","","3","","23","4","","5dd2fe93b966de3107002f4b"
"2024-01-18 09:08:29","2024-01-18 09:09:13","0",57,"100","44","1","2024-01-18 09:09:13","R_5pStZdXt8uUbpuz","","","","",57,57,"anonymous","EN","2","2","1","5c5cd939a1ff0d0001176b6e","70","42","","","2","1","","3","","37","4","","5c5cd939a1ff0d0001176b6e"
"2024-01-18 09:08:25","2024-01-18 09:09:24","0",58,"100","58","1","2024-01-18 09:09:24","R_3BrPffCN1A5DaAg","","","","",58,58,"anonymous","EN","2","2","1","60fd819cc525619e3e0ce203","","","71","40","2","2","","3","","27","5","","60fd819cc525619e3e0ce203"
"2024-01-18 09:08:36","2024-01-18 09:09:24","0",59,"100","48","1","2024-01-18 09:09:25","R_6lsEBZoGcWIiQ3N","","","","",59,59,"anonymous","EN","2","2","1","59fd4a71f5b5a3000139379c","","","84","34","2","1","","1","","33","4","","59fd4a71f5b5a3000139379c"
"2024-01-18 09:08:51","2024-01-18 09:09:49","0",60,"100","57","1","2024-01-18 09:09:50","R_7KCjOSyppNJpUFJ","","","","",60,60,"anonymous","EN","2","2","1","6134e3d48d0eaa5c8fe8c25e","","","60","90","2","2","","3","","36","4","","6134e3d48d0eaa5c8fe8c25e"
"2024-01-18 09:08:23","2024-01-18 09:09:53","0",61,"100","90","1","2024-01-18 09:09:53","R_37UoOXFHPifHtcX","","","","",61,61,"anonymous","EN","2","2","1","60f6cd4f42b3b160be558774","100","80","","","2","2","","5","","29","2","","60f6cd4f42b3b160be558774"
"2024-01-18 09:08:22","2024-01-18 09:09:59","0",62,"100","97","1","2024-01-18 09:10:00","R_3TTMBh4WJKktNHN","","","","",62,62,"anonymous","EN","2","2","1","5d0bb1874d659a0001391226","70","19","","","2","2","","3","","49","3","","5d0bb1874d659a0001391226"
"2024-01-18 09:08:46","2024-01-18 09:10:14","0",63,"100","87","1","2024-01-18 09:10:14","R_7jUrYK0CbgcChdH","","","","",63,63,"anonymous","EN","2","2","1","614e8713ba7000ac40031538","60","75","","","2","2","","3","","49","4","","614e8713ba7000ac40031538"
"2024-01-18 09:09:19","2024-01-18 09:10:30","0",64,"100","71","1","2024-01-18 09:10:31","R_7doHyPIPLVf1knA","","","","",64,64,"anonymous","EN","2","2","1","5aba561de1099600016a1041","","","40","60","2","1","","3","","30","1","","5aba561de1099600016a1041"
"2024-01-18 09:07:55","2024-01-18 09:10:54","0",65,"100","179","1","2024-01-18 09:10:55","R_3icQofNpc8DNU0V","","","","",65,65,"anonymous","EN","2","2","1","61044e57d36682329f7b8df8","","","30","10","2","2","","3","","44","4","","61044e57d36682329f7b8df8"
"2024-01-18 09:10:17","2024-01-18 09:11:04","0",66,"100","47","1","2024-01-18 09:11:05","R_6LB7pP4z1dJuPfb","","","","",66,66,"anonymous","EN","2","2","1","5f171b6978c6ae032e458f06","","","68","19","2","2","","3","","39","4","","5f171b6978c6ae032e458f06"
"2024-01-18 09:09:14","2024-01-18 09:11:15","0",67,"100","120","1","2024-01-18 09:11:15","R_1PpMO6aIu0UUbtf","","","","",67,67,"anonymous","EN","2","2","1","63b6cf1609c12f37f2cf0371","75","61","","","2","2","","5","","28","5","","63b6cf1609c12f37f2cf0371"
"2024-01-18 09:10:42","2024-01-18 09:11:28","0",68,"100","45","1","2024-01-18 09:11:28","R_61Y6UQdWscKrn3K","","","","",68,68,"anonymous","EN","2","2","1","636150837df0c4177e194d8c","100","100","","","2","1","","3","","35","4","","636150837df0c4177e194d8c"
"2024-01-18 09:10:57","2024-01-18 09:11:38","0",69,"100","40","1","2024-01-18 09:11:39","R_1Wn7LUbhH4FrBqF","","","","",69,69,"anonymous","EN","2","2","1","5c535974b7cf140001d308d3","73","45","","","2","2","","3","","30","3","","5c535974b7cf140001d308d3"
"2024-01-18 09:10:33","2024-01-18 09:11:41","0",70,"100","67","1","2024-01-18 09:11:41","R_7rVAEgALQcXHN8i","","","","",70,70,"anonymous","EN","2","2","1","5e6cd7d5e1924c2888545bbb","","","80","90","2","1","","3","","40","2","","5e6cd7d5e1924c2888545bbb"
"2024-01-18 09:09:31","2024-01-18 09:11:47","0",71,"100","135","1","2024-01-18 09:11:47","R_5ExLyJSpPxRA5tM","","","","",71,71,"anonymous","EN","2","2","1","614fe09fec9ce4a2a415476d","51","55","","","2","2","","3","","41","5","","614fe09fec9ce4a2a415476d"
"2024-01-18 09:10:56","2024-01-18 09:11:50","0",72,"100","54","1","2024-01-18 09:11:51","R_1dSKBxbOI5T6yYI","","","","",72,72,"anonymous","EN","2","2","1","5f4f990e0e7da9068d0a9802","","","23","72","2","2","","3","","42","4","","5f4f990e0e7da9068d0a9802"
"2024-01-18 09:10:10","2024-01-18 09:12:06","0",73,"100","115","1","2024-01-18 09:12:06","R_5ZHwUwalxNlmYan","","","","",73,73,"anonymous","EN","2","2","1","644013b160c84c519d35d1f4","","","70","85","2","1","","3","","39","4","","644013b160c84c519d35d1f4"
"2024-01-18 09:11:15","2024-01-18 09:12:06","0",74,"100","51","1","2024-01-18 09:12:06","R_6HUhbZEAHedq2uc","","","","",74,74,"anonymous","EN","2","2","1","5e4463978ea5130700f56037","64","73","","","2","1","","3","","56","4","","5e4463978ea5130700f56037"
"2024-01-18 09:11:10","2024-01-18 09:12:20","0",75,"100","69","1","2024-01-18 09:12:20","R_3sU7ecAaev1Bwit","","","","",75,75,"anonymous","EN","2","2","1","57a9e6f82fc0d400012c9db2","","","51","92","2","2","","3","","39","4","","57a9e6f82fc0d400012c9db2"
"2024-01-18 09:11:39","2024-01-18 09:12:25","0",76,"100","45","1","2024-01-18 09:12:25","R_6E6gkdSqvp4Q8xI","","","","",76,76,"anonymous","EN","2","2","1","5af493961b55800001f494c6","99","74","","","2","1","","2","","40","5","","5af493961b55800001f494c6"
"2024-01-18 09:11:37","2024-01-18 09:12:27","0",77,"100","50","1","2024-01-18 09:12:27","R_6DpBI9dN1XeuM7i","","","","",77,77,"anonymous","EN","2","2","1","6361b53c44c9c4ebeb619db1","85","66","","","2","1","","5","","22","3","","6361b53c44c9c4ebeb619db1"
"2024-01-18 09:11:37","2024-01-18 09:12:29","0",78,"100","52","1","2024-01-18 09:12:29","R_3okzdEeH9QXdKy5","","","","",78,78,"anonymous","EN","2","2","1","5e7227c4e9253c1509f76f96","","","44","58","2","1","","3","","57","4","","5e7227c4e9253c1509f76f96"
"2024-01-18 09:11:46","2024-01-18 09:12:35","0",79,"100","48","1","2024-01-18 09:12:35","R_5Pi2PVj2pqtW1WU","","","","",79,79,"anonymous","EN","2","2","1","611826a2829806f27afd5864","68","63","","","2","2","","3","","31","4","","611826a2829806f27afd5864"
"2024-01-18 09:10:58","2024-01-18 09:12:42","0",80,"100","103","1","2024-01-18 09:12:42","R_6gO4bu7zUUlMzU5","","","","",80,80,"anonymous","EN","2","2","1","5d63275f9b22da000117b107","","","40","51","2","1","","3","","70","3","","5d63275f9b22da000117b107"
"2024-01-18 09:11:28","2024-01-18 09:12:45","0",81,"100","76","1","2024-01-18 09:12:45","R_68YuYybRqI4q4qR","","","","",81,81,"anonymous","EN","2","2","1","62fea0509e7df658ed2554d2","","","90","30","2","1","","3","","33","3","","62fea0509e7df658ed2554d2"
"2024-01-18 09:12:41","2024-01-18 09:12:55","0",82,"100","13","1","2024-01-18 09:12:55","R_7rT9Sfndw5PAtK2","","","","",82,82,"anonymous","EN","2","1","","","","","","","","","","","","","","","5e328d9f7c47e424bdb304a9"
"2024-01-18 09:11:40","2024-01-18 09:13:03","0",83,"100","82","1","2024-01-18 09:13:03","R_595kjUk7ThM5Mbw","","","","",83,83,"anonymous","EN","2","2","1","6162fa4fec3fe9d88d067ada","25","15","","","2","2","","1","","42","3","","6162fa4fec3fe9d88d067ada"
"2024-01-18 09:12:31","2024-01-18 09:13:13","0",84,"100","41","1","2024-01-18 09:13:14","R_18BWcskoUxkKKG6","","","","",84,84,"anonymous","EN","2","2","1","631916c5e920aea5076777b0","","","45","65","2","1","","3","","38","4","","631916c5e920aea5076777b0"
